Scholar ID,Gender,Black or African American,Hispanic or Latinx,Native Hawaiian or Pacific Islander,Asian,American Indian or Alaska Native,White,Family Income,Family Size,Federal Poverty Level Percentage,First Generation College Student,High School,High School Graduation Year,HS Unweighted GPA,HS Weighted GPA,Class Rank,Class Size,SAT Math,SAT Critical Reading,SAT Total,Scholar Status,Scholar Secondary Status,Last Renewal Date,Cohort,SA Cohort,Completed SA as Junior,Completed SA as Senior,# SA Cohorts,SA Chemistry,SA Computer Science,Scholar College,College Forbes Ranking,College Forbes Ranking 2018,Intended Major,Intended Major STEM?,College Graduation Year,# Years of College,# of College Terms,Current Major,Current Major Category,Current Major STEM?,Reported Total GPA,GPA - Freshman Year,GPA - Sophomore Year,GPA - Junior Year,GPA - Senior Year,GPA - Super Senior,College Degree Earned Type,Estimated Student Loans at Graduation,6 Months Post College: Employment Status,6 Months Post College: Graduate School
a013900001YwIhj,Female,0,1,0,0,0,0,23445,7,62,1,Wallis Annenberg High School,2017,3.895,4,,,640,690,1330,Current Scholar,,2019 Spring,2017,2017,0,1,1,0,0,UC Irvine,106,96,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.: Computer Science.,1,2021,4,3,ICS- undeclared,Undeclared,0,3.17,,,,,,,,,
a013900001XRaFt,Male,0,1,0,0,0,0,21936,4,87,1,Port of Los Angeles High School,2017,3.68,3.99,13,228,630,620,1250,Current Scholar,,2019 Fall,2017,2017,1,1,2,0,1,UC Irvine,106,96,UNDECLARED.: Undeclared.,0,2021,4,5,Department of Cognitive Science,,1,2.86,,,,,,,,,
a017000001JTP5B,Male,1,0,0,0,0,0,42165,3,203,1,Harbor Teacher Preparation Academy,2012,,3.3,,,540,500,1570,Scholar Alumni,,2013 Fall,2012,,0,0,0,0,0,UC Irvine,106,96,HEALTH PROFESSIONS AND RELATED PROGRAMS.: Public Health.,0,2016,4,,,,,,1.233,0,0,,,B.A.,,,
a013900001cB87q,Male,0,0,1,1,0,0,3317,4,13,0,University Prep Value High School,2019,3.92,4.5,,103,,,1460,Current Scholar,Summer Academy,2019 Fall,2019,2018,1,1,2,0,0,UC Irvine,106,96,,0,,,,,,,,,,,,,,,,
a013900001cTukb,Female,0,1,0,0,0,0,36059,6,107,1,Saddleback High School,2019,3.862,4.586,5,388,,,,Current Scholar,Summer Academy,2019 Fall,2019,2018,0,1,1,0,0,UC Irvine,106,96,ENGINEERING.,1,,,,,,,,,,,,,,,,
a013900001cC7y3,Female,0,1,0,0,0,0,61786,6,183,1,California Academy Of Mathematics And Science,2019,3.79,4.07,,,,,,Current Scholar,,2019 Fall,2019,2018,1,0,1,0,0,UC Irvine,106,96,HEALTH PROFESSIONS AND RELATED PROGRAMS.,1,,,,,,,,,,,,,,,,
a013900001cUbiE,Female,0,0,1,1,0,0,33024,2,201,1,Downtown Magnets High School,2019,3.722,3.972,13,161,,,1250,Current Scholar,,2019 Fall,2019,2018,1,0,1,0,0,UC Irvine,106,96,SOCIAL SCIENCES.,0,,,,,,,,,,,,,,,,
a013900001cVXU7,Female,0,0,1,1,0,0,53688,5,182,1,University High School,2019,3.968,4,6,288,,,1280,Current Scholar,,2019 Fall,2019,2018,1,0,1,0,0,UC Irvine,106,96,,0,,,,,,,,,,,,,,,,
a017000001JTP9n,Female,0,1,0,0,0,0,58135,6,172,1,Banning High School,2014,,4.2,,,560,560,1740,Current Scholar,Break/Suspension,2018 Spring,2014,,0,0,0,0,0,UC Davis,102,94,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.: Animal Sciences.",1,2018,4,10,Animal Science,Agriculture,0,3.31,3.06,,,,,,,,
a017000001Q7PbN,Male,1,0,0,0,0,0,99219,5,337,1,Manual Arts Senior High School,2015,,4.231,5,312,470,470,1460,Scholar Alumni,,2019 Spring,2015,2015,1,1,2,1,0,UC Davis,102,94,"AGRICULTURE, AGRICULTURE OPERATIONS, AND RELATED SCIENCES.: Plant Sciences.",1,2019,4,12,Plant Sciences,Agriculture,1,3.09,,,,,,B.S.,No Student Loans,,
a013900001YKG96,Female,1,0,0,1,1,0,13224,4,53,0,Pomona High School,2018,3.743,4.057,27,345,520,440,960,Current Scholar,,2019 Fall,2018,2017,1,0,1,0,0,UC Davis,102,94,BIOLOGICAL AND BIOMEDICAL SCIENCES.,1,2022,4,2,"Biology/Biological Sciences, General.",Biology,1,2.46,,,,,,,,,
